UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temp_difference,torque_tool_interaction
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,0.0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,138.89999999999998
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,247.0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,276.5
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,360.0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,460.9
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,593.6
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,643.2
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,514.8000000000001
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,588.0
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,573.5999999999999
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,1284.6999999999998
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,1737.4
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,1110.0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,2032.8
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,2050.4
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,2143.2000000000003
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,2725.0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,1787.5
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,2476.6000000000004
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,2822.3999999999996
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,1995.5
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,1747.6
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,2611.0
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,1700.9
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,2925.0
