iter	RMSE
0	1.377788199
1	1.279377208
2	1.200671961
3	1.122983047
4	1.054961921
5	0.9953501793
6	0.9443188825
7	0.8988664983
8	0.8610011296
9	0.8294471937
10	0.801609681
11	0.7777937656
12	0.7575520342
13	0.7399168428
14	0.724612787
15	0.7121180349
16	0.7016667033
17	0.6926839066
18	0.6854097594
19	0.6788960748
20	0.6731824909
21	0.6686680364
22	0.6650727652
23	0.6614096304
24	0.6586226938
25	0.6565687033
26	0.654896589
27	0.6531888344
28	0.6516731414
29	0.6504301114
30	0.6494577998
31	0.6485540299
32	0.6477030279
33	0.6467873391
34	0.6456410078
35	0.6449821165
36	0.6444425869
37	0.6434521821
38	0.6429233401
39	0.6426713152
40	0.6422708352
41	0.641741052
42	0.6411971747
43	0.6409506417
44	0.6406462288
45	0.6396851196
46	0.6392383997
47	0.6389729876
48	0.638760862
49	0.6384252728
50	0.6383007284
51	0.638093242
52	0.6378395223
53	0.6376687653
54	0.6373612816
55	0.6371635415
56	0.6366302209
57	0.6362157444
58	0.6360504368
59	0.6359539591
60	0.6356136348
61	0.6351662041
62	0.6347304524
63	0.6345026406
64	0.6343669022
65	0.6341305749
66	0.6339070651
67	0.6338142147
68	0.6335264584
69	0.6329780521
70	0.6328032124
71	0.6326038126
72	0.6324960725
73	0.6322123405
74	0.6320704982
75	0.6318829891
76	0.631690659
77	0.6312600538
78	0.6311188552
79	0.6308771391
80	0.6307254474
81	0.6305612576
82	0.6304351285
83	0.6301326631
84	0.6299163087
85	0.6295971348
86	0.6294746486
87	0.6292100687
88	0.628840216
89	0.6285343983
90	0.6284228246
91	0.6280646793
92	0.6275023564
93	0.6269937716
94	0.6265252121
95	0.6262720149
96	0.6259859593
97	0.6257351861
98	0.6253986695
99	0.6248816984
100	0.6245207843
101	0.6242788734
102	0.6239051251
103	0.6236497966
104	0.6233469494
105	0.6230716537
106	0.6227446286
107	0.6221162235
108	0.6219645684
109	0.6214664343
110	0.621242735
111	0.6210189154
112	0.6208276003
113	0.6203708169
114	0.6198736252
115	0.6194702626
116	0.6191896037
117	0.6188931693
118	0.6186414869
119	0.6181626782
120	0.6178826671
121	0.6177007234
122	0.6174569813
123	0.6172350471
124	0.6166803111
125	0.6163614171
126	0.6158507322
127	0.6154635104
128	0.6152167331
129	0.6150725584
130	0.6148899781
131	0.6145944303
132	0.6141515276
133	0.6139311453
134	0.6136750835
135	0.6134941873
136	0.6132184114
137	0.6129173885
138	0.612748769
139	0.6126193324
140	0.6121066451
141	0.6118956778
142	0.6116563384
143	0.6114585373
144	0.6112482131
145	0.6110018301
146	0.610767995
147	0.6105622062
148	0.6105032034
149	0.6101133146
150	0.609954135
151	0.6095909451
152	0.6094643145
153	0.6091332719
154	0.6089117937
155	0.6086002965
156	0.6084327902
157	0.6080798116
158	0.6078765855
159	0.6078610663
160	0.6076158653
161	0.6072912049
162	0.607031248
163	0.6068510202
164	0.606708062
165	0.6065773821
166	0.6062669035
167	0.6059173238
168	0.605778363
169	0.605683277
170	0.6050419392
171	0.6047723001
172	0.6045382787
173	0.6043074985
174	0.6041740004
175	0.6039934948
176	0.6037169675
177	0.6034795311
178	0.6032589699
179	0.6030089076
180	0.6028364996
181	0.6025821219
182	0.6023714387
183	0.6020390225
184	0.6017919118
185	0.6016036742
186	0.6012328755
187	0.6010630866
188	0.6009657918
189	0.6008294717
190	0.6005985944
191	0.6001665477
192	0.5999255209
193	0.5995263635
194	0.599381521
195	0.599233585
196	0.5989490936
197	0.5986920876
198	0.5984846683
199	0.5983407562
