iter	Passed	Remaining
0	135	26947
1	137	13644
2	139	9193
3	141	6949
4	143	5605
5	146	4724
6	148	4087
7	150	3610
8	152	3240
9	154	2937
10	156	2694
11	158	2488
12	160	2314
13	163	2170
14	165	2039
15	167	1926
16	169	1824
17	171	1734
18	173	1651
19	175	1578
20	177	1513
21	179	1452
22	181	1399
23	184	1350
24	185	1301
25	187	1257
26	190	1217
27	191	1179
28	194	1146
29	196	1113
30	198	1081
31	200	1051
32	202	1023
33	204	998
34	206	973
35	208	949
36	210	926
37	212	904
38	214	883
39	216	864
40	218	845
41	219	826
42	222	811
43	224	795
44	226	779
45	228	764
46	230	749
47	232	735
48	233	721
49	235	707
50	237	694
51	239	683
52	241	671
53	243	659
54	245	647
55	247	636
56	249	626
57	251	615
58	252	604
59	254	594
60	256	585
61	258	575
62	260	566
63	262	557
64	264	548
65	265	539
66	267	531
67	269	523
68	271	515
69	273	508
70	275	501
71	278	494
72	280	487
73	281	479
74	283	472
75	285	465
76	287	459
77	289	453
78	291	446
79	293	440
80	295	433
81	297	427
82	298	421
83	300	415
84	302	409
85	304	403
86	306	398
87	308	392
88	310	387
89	312	381
90	314	376
91	316	371
92	318	366
93	320	361
94	322	356
95	323	350
96	325	346
97	327	341
98	329	336
99	331	331
100	333	326
101	335	322
102	337	317
103	339	313
104	341	309
105	343	304
106	345	300
107	347	295
108	349	291
109	351	287
110	353	283
111	354	278
112	356	274
113	358	270
114	360	266
115	362	262
116	364	258
117	365	254
118	367	250
119	369	246
120	371	242
121	373	238
122	375	234
123	376	231
124	378	227
125	380	223
126	382	220
127	384	216
128	386	212
129	388	209
130	390	205
131	392	202
132	394	198
133	395	195
134	397	191
135	399	188
136	401	184
137	403	181
138	405	177
139	407	174
140	409	171
141	411	168
142	413	164
143	415	161
144	417	158
145	419	155
146	421	151
147	423	148
148	424	145
149	426	142
150	428	139
151	430	135
152	432	132
153	434	129
154	436	126
155	438	123
156	440	120
157	442	117
158	443	114
159	445	111
160	447	108
161	449	105
162	451	102
163	453	99
164	455	96
165	457	93
166	460	90
167	461	87
168	463	85
169	465	82
170	467	79
171	469	76
172	471	73
173	473	70
174	475	67
175	477	65
176	479	62
177	481	59
178	482	56
179	484	53
180	486	51
181	488	48
182	490	45
183	492	42
184	494	40
185	496	37
186	498	34
187	500	31
188	502	29
189	503	26
190	505	23
191	507	21
192	509	18
193	511	15
194	513	13
195	515	10
196	517	7
197	519	5
198	521	2
199	522	0
